,candidate,run,makespan,tardiness,makespan_reward,tardiness_reward
0,|Flexible_DDQN|Local_model_4,_1_35,4144.351,81710.1796875,0.0603586845099926,0.008768549173226841
1,|Flexible_DDQN|Local_model_4,_1_32,4464.186,71539.46875,0.04094740375876427,0.015686465111955906
2,|Flexible_DDQN|Local_model_4,_1_92,4215.1343,68976.890625,0.05367976427078247,0.00800278273767234
3,|Flexible_DDQN|Local_model_4,_1_66,4263.625,65732.2578125,0.0664362981915474,0.02001060412646672
4,|Flexible_DDQN|Local_model_4,_1_59,4899.566,37779.8125,0.030433785170316696,0.0
5,|Flexible_DDQN|Local_model_4,_1_61,3883.504,68138.40625,0.06037604808807373,0.010166223572577755
6,|Flexible_DDQN|Local_model_4,_1_95,4730.368,58614.765625,0.005588808562606573,0.014523567474807772
7,|Flexible_DDQN|Local_model_4,_1_57,4335.8184,43952.2265625,0.02371186576783657,0.0
8,|Flexible_DDQN|Local_model_4,_1_68,4444.709,59227.60546875,0.02885461039841175,0.007486803815902664
9,|Flexible_DDQN|Local_model_4,_1_50,4653.4556,69367.4765625,0.04128633812069893,0.0
10,|Flexible_DDQN|Local_model_4,_1_33,4994.918,71576.734375,0.03780334070324898,0.020685653763883736
11,|Flexible_DDQN|Local_model_4,_1_34,4582.9194,30002.021484375,0.05937214940786362,0.0
12,|Flexible_DDQN|Local_model_4,_1_51,4161.926,69129.171875,0.038467250764369965,0.019958765565904587
13,|Flexible_DDQN|Local_model_4,_1_56,4297.708,46576.1796875,0.046173710376024246,0.0014693392383577373
14,|Flexible_DDQN|Local_model_4,_1_69,4531.6406,55781.0234375,0.046086832880973816,0.006905736373926992
15,|Flexible_DDQN|Local_model_4,_1_94,4618.179,68851.9921875,0.04292483255267143,0.002690424270618346
16,|Flexible_DDQN|Local_model_4,_1_60,5033.032,37775.07421875,0.041423652321100235,0.007830012293711539
17,|Flexible_DDQN|Local_model_4,_1_67,4410.943,77850.5625,0.031913794577121735,0.0
18,|Flexible_DDQN|Local_model_4,_1_93,4444.67,51568.6171875,0.03691037371754646,0.0076874338678284
19,|Flexible_DDQN|Local_model_4,_1_58,4382.331,32185.794921875,0.047308772802352905,0.022052009046886308
20,|Flexible_DDQN|Local_model_4,_1_5,4347.2896,65447.8515625,0.16901668906211853,0.02326494332346116
21,|Flexible_DDQN|Local_model_4,_1_2,4724.195,80456.46875,0.029919948428869247,0.02603131447553756
22,|Flexible_DDQN|Local_model_4,_1_3,4117.7573,57367.2578125,0.0427764430642128,0.002105448738792961
23,|Flexible_DDQN|Local_model_4,_1_4,5171.826,50592.6796875,0.043453700840473175,0.01607818767172268
24,|Flexible_DDQN|Local_model_4,_1_45,4258.4844,50333.95703125,0.04098590090870857,0.007500525465482806
25,|Flexible_DDQN|Local_model_4,_1_89,4116.2227,60887.984375,0.037486229091882706,0.007589700535268931
26,|Flexible_DDQN|Local_model_4,_1_42,4639.65,55859.91796875,0.04009836167097092,0.02517039695056699
27,|Flexible_DDQN|Local_model_4,_1_80,4513.8135,54296.52734375,0.062420666217803955,0.012750222308374325
28,|Flexible_DDQN|Local_model_4,_1_74,4717.313,50950.05859375,0.040915362536907196,0.008008132973957754
29,|Flexible_DDQN|Local_model_4,_1_73,4981.8804,45646.9609375,0.050898101180791855,0.010913494881133128
30,|Flexible_DDQN|Local_model_4,_1_87,4230.338,79620.3203125,0.04659944027662277,0.008185506602930154
31,|Flexible_DDQN|Local_model_4,_1_27,4414.5947,60882.94921875,0.08086493611335754,0.0035140400654898435
32,|Flexible_DDQN|Local_model_4,_1_18,4307.665,55321.96484375,0.052566539496183395,0.013028636873486616
33,|Flexible_DDQN|Local_model_4,_1_20,4236.5063,40777.546875,0.061656124889850616,0.007261465441092491
34,|Flexible_DDQN|Local_model_4,_1_16,4634.894,47345.125,0.03897174820303917,0.014016981313198581
35,|Flexible_DDQN|Local_model_4,_1_29,4079.4639,68790.2421875,0.05669667571783066,0.012819542616834271
36,|Flexible_DDQN|Local_model_4,_1_11,4650.459,44522.015625,0.021195007488131523,0.019409367582547025
37,|Flexible_DDQN|Local_model_4,_1_86,4454.19,43451.375,0.05398591607809067,0.008903456082646071
38,|Flexible_DDQN|Local_model_4,_1_72,4679.0527,64127.3125,0.04162675887346268,0.00584903686251864
39,|Flexible_DDQN|Local_model_4,_1_75,4403.828,49972.05859375,0.04634607583284378,0.0008766953285435963
40,|Flexible_DDQN|Local_model_4,_1_81,4761.998,43972.24609375,0.05617697536945343,0.022036512966047438
41,|Flexible_DDQN|Local_model_4,_1_88,4574.625,52149.5390625,0.05637936666607857,0.015589285795714305
42,|Flexible_DDQN|Local_model_4,_1_43,4633.3086,71570.4609375,0.0011294771684333682,0.013215276458038746
43,|Flexible_DDQN|Local_model_4,_1_44,4261.066,72041.8125,0.05189339816570282,0.009961124511878545
44,|Flexible_DDQN|Local_model_4,_1_10,4103.586,91281.7421875,0.03904151916503906,0.01207272352457481
45,|Flexible_DDQN|Local_model_4,_1_17,4644.59,67351.359375,0.031382039189338684,0.010941922643773711
46,|Flexible_DDQN|Local_model_4,_1_28,4502.463,74531.34375,0.0,0.026868396080773047
47,|Flexible_DDQN|Local_model_4,_1_21,4861.826,44838.80859375,0.048002131283283234,0.019926653219473876
48,|Flexible_DDQN|Local_model_4,_1_26,5061.8623,57322.66796875,0.04588884860277176,0.010743873411686866
49,|Flexible_DDQN|Local_model_4,_1_19,4213.956,47851.9609375,0.04518156871199608,0.01902631329005685
50,|Flexible_DDQN|Local_model_4,_1_62,4974.9937,59995.65625,0.05913950130343437,0.0
51,|Flexible_DDQN|Local_model_4,_1_96,4316.2534,77552.8515625,0.0498967170715332,0.0067399147543016355
52,|Flexible_DDQN|Local_model_4,_1_91,4863.4297,36530.13671875,0.030074480921030045,0.0
53,|Flexible_DDQN|Local_model_4,_1_65,4253.4775,49919.375,0.06816579401493073,0.0
54,|Flexible_DDQN|Local_model_4,_1_53,4607.39,43605.5859375,0.045913949608802795,0.001812256310870519
55,|Flexible_DDQN|Local_model_4,_1_98,4885.0527,43066.3515625,0.026837054640054703,0.010414489515590528
56,|Flexible_DDQN|Local_model_4,_1_54,4204.234,41912.23046875,0.03371415287256241,0.016951599217518824
57,|Flexible_DDQN|Local_model_4,_1_38,4825.6816,58799.1875,0.012991329655051231,0.014667546167478443
58,|Flexible_DDQN|Local_model_4,_1_31,4166.837,57034.5078125,0.04346780106425285,0.01021151084528201
59,|Flexible_DDQN|Local_model_4,_1_36,4927.1113,49179.23828125,0.03952508792281151,0.019856290786526506
60,|Flexible_DDQN|Local_model_4,_1_55,4577.9043,40026.15625,0.0442659966647625,0.002537875338941664
61,|Flexible_DDQN|Local_model_4,_1_52,4482.241,68804.5546875,0.023928703740239143,0.0
62,|Flexible_DDQN|Local_model_4,_1_99,4569.123,51037.765625,0.0395209863781929,0.0
63,|Flexible_DDQN|Local_model_4,_1_64,5155.027,24366.974609375,0.06133455038070679,0.02824368577738307
64,|Flexible_DDQN|Local_model_4,_1_90,4780.973,60447.5859375,0.02538985200226307,0.011719380478785546
65,|Flexible_DDQN|Local_model_4,_1_97,4533.55,42880.44140625,0.02109527960419655,0.012946384866938462
66,|Flexible_DDQN|Local_model_4,_1_63,4639.749,49110.25390625,0.07469578832387924,0.013746145337998655
67,|Flexible_DDQN|Local_model_4,_1_37,4702.931,67428.0859375,0.04284536466002464,0.035098777275056774
68,|Flexible_DDQN|Local_model_4,_1_30,4862.5337,60121.2421875,0.04495025798678398,0.0
69,|Flexible_DDQN|Local_model_4,_1_39,4583.4116,50735.6953125,0.03133334964513779,0.024306726423559178
70,|Flexible_DDQN|Local_model_4,_1_100,4445.6914,37552.79296875,0.012252354063093662,0.012937464383524187
71,|Flexible_DDQN|Local_model_4,_1_8,4441.2266,59086.81640625,0.04204585403203964,0.01497338708491672
72,|Flexible_DDQN|Local_model_4,_1_1,4352.873,50483.0703125,0.06421615928411484,0.006900059054927857
73,|Flexible_DDQN|Local_model_4,_1_6,4457.3564,62274.703125,0.022460969164967537,0.005330730301006155
74,|Flexible_DDQN|Local_model_4,_1_7,4687.1562,42852.58984375,0.026726732030510902,0.009516688077139115
75,|Flexible_DDQN|Local_model_4,_1_9,3859.3071,67377.8125,0.05036357790231705,0.023807362769080676
76,|Flexible_DDQN|Local_model_4,_1_23,4478.9297,42556.59765625,0.03857341781258583,0.0062162097200550446
77,|Flexible_DDQN|Local_model_4,_1_24,4767.246,49669.69140625,0.041672226041555405,0.004455621651143223
78,|Flexible_DDQN|Local_model_4,_1_12,4098.774,58755.61328125,0.05311088636517525,0.012487716924826945
79,|Flexible_DDQN|Local_model_4,_1_15,4172.206,85501.6015625,0.05261281877756119,0.0
80,|Flexible_DDQN|Local_model_4,_1_41,4835.839,71742.0234375,0.0062940348871052265,0.0
81,|Flexible_DDQN|Local_model_4,_1_79,4647.0635,50852.6875,0.05249970033764839,0.01185445687645994
82,|Flexible_DDQN|Local_model_4,_1_46,4314.7764,40793.765625,0.04716069623827934,0.009221002566226199
83,|Flexible_DDQN|Local_model_4,_1_70,4650.295,31496.263671875,0.04954309016466141,0.011896979027907949
84,|Flexible_DDQN|Local_model_4,_1_84,4609.346,71389.9765625,0.027003297582268715,0.00833437803386282
85,|Flexible_DDQN|Local_model_4,_1_48,4105.2134,85183.625,0.04129810258746147,0.0152393949931865
86,|Flexible_DDQN|Local_model_4,_1_83,4357.8906,37132.28125,0.051742877811193466,0.017759038089472375
87,|Flexible_DDQN|Local_model_4,_1_77,4179.537,57264.0859375,0.038771793246269226,0.01382527518060285
88,|Flexible_DDQN|Local_model_4,_1_14,4291.5522,73284.078125,0.048381634056568146,0.014478824949421558
89,|Flexible_DDQN|Local_model_4,_1_13,4556.601,53688.3828125,0.037408147007226944,0.018546209031921536
90,|Flexible_DDQN|Local_model_4,_1_25,4367.9014,43517.9375,0.048111215233802795,0.009248694864637454
91,|Flexible_DDQN|Local_model_4,_1_22,4828.924,85076.125,0.0385391004383564,0.0036984241586496434
92,|Flexible_DDQN|Local_model_4,_1_49,5165.7935,38509.7734375,0.06227065250277519,0.009555493928726212
93,|Flexible_DDQN|Local_model_4,_1_76,5068.993,46276.6171875,0.06284519284963608,0.0013515712338659058
94,|Flexible_DDQN|Local_model_4,_1_82,4597.8623,58342.3671875,0.03597298264503479,0.01327378515190709
95,|Flexible_DDQN|Local_model_4,_1_85,4655.231,68218.6484375,0.05375157296657562,0.011820524032595632
96,|Flexible_DDQN|Local_model_4,_1_71,4741.9414,51007.765625,0.04759079962968826,0.04513578963963604
97,|Flexible_DDQN|Local_model_4,_1_78,4340.7285,74010.8359375,0.042599156498909,0.018709627343525742
98,|Flexible_DDQN|Local_model_4,_1_47,4765.27,45514.453125,0.0362723246216774,0.0039274768801744395
99,|Flexible_DDQN|Local_model_4,_1_40,3994.5903,79816.4609375,0.05625681206583977,0.018069158066105147
100,|Flexible_DDQN|Local_model_5,_1_35,4248.425,84725.546875,0.04745234176516533,0.0016698609050356252
101,|Flexible_DDQN|Local_model_5,_1_32,4284.9775,71753.484375,0.05689222738146782,0.015062544955150928
102,|Flexible_DDQN|Local_model_5,_1_92,4231.1343,57763.6640625,0.051776282489299774,0.02571033164767412
103,|Flexible_DDQN|Local_model_5,_1_66,4603.3467,63008.22265625,0.0355132557451725,0.024246332554339646
104,|Flexible_DDQN|Local_model_5,_1_59,4653.7285,37068.515625,0.06999336183071136,0.0011332636635033174
105,|Flexible_DDQN|Local_model_5,_1_61,3993.5034,75336.359375,0.03542245179414749,0.0019105609322264958
106,|Flexible_DDQN|Local_model_5,_1_95,4272.154,60184.578125,0.056806255131959915,0.011841415367299572
107,|Flexible_DDQN|Local_model_5,_1_57,4273.722,43632.4296875,0.03742869943380356,0.0
108,|Flexible_DDQN|Local_model_5,_1_68,4323.976,57673.09375,0.03837756812572479,0.010361428991557247
109,|Flexible_DDQN|Local_model_5,_1_50,4676.969,61748.47265625,0.0336303748190403,0.018766746410493466
110,|Flexible_DDQN|Local_model_5,_1_33,5062.047,78263.3984375,0.028774337843060493,0.012282998159387116
