+---------------------------------+--------------------+--------------------+--------------------+
|            candidate            |  makespan_reward   |  tardiness_reward  |     total_sum      |
+---------------------------------+--------------------+--------------------+--------------------+
| |Rule_DDQN|model|Global_model_3 | 4.600159740075469  |  5.15626458550044  |  9.75642432557591  |
| |Rule_DDQN|model|Local_model_4  | 4.583056394942105  | 5.109544143993659  | 9.692600538935764  |
| |Rule_DDQN|model|Global_model_2 | 4.562701587565243  | 5.103571473189597  |  9.66627306075484  |
| |Rule_DDQN|model|Local_model_6  |  4.64249699190259  | 4.932397991675642  | 9.574894983578233  |
|     |Rule_PPO|Local_model_6     | 3.6553419121191837 | 5.046471305998195  |  8.70181321811738  |
| |Rule_DDQN|model|Local_model_5  | 3.212207894772291  | 4.9050203513320945 | 8.117228246104386  |
| |Rule_DDQN|model|Local_model_7  | 4.092012894805521  | 3.875940777982018  | 7.967953672787539  |
|    |Rule_PPO|Global_model_1     | 2.8222431822214276 | 4.282827471655641  | 7.1050706538770685 |
|     |Rule_PPO|Local_model_7     | 2.3667167681269348 | 4.399098273124043  | 6.765815041250978  |
|     |Rule_PPO|Local_model_4     | 1.874601660296321  | 4.628246453455924  | 6.502848113752245  |
| |Rule_DDQN|model|Global_model_1 | 1.8907428154197987 | 4.267909930917115  | 6.158652746336914  |
|    |Rule_PPO|Global_model_0     | 1.6634240143102943 | 4.285910984453696  |  5.94933499876399  |
|     |Rule_PPO|Local_model_5     | 1.3849997840006836 | 4.468098466590892  | 5.853098250591575  |
|   |Flexible_PPO|Local_model_5   | 2.467550846544327  | 3.2839849160277583 | 5.751535762572086  |
|    |Rule_PPO|Global_model_2     | 1.406969870091416  | 4.293037482513429  | 5.700007352604845  |
| |Rule_DDQN|model|Global_model_0 | 1.4302455753204413 |  4.25873891854133  | 5.6889844938617715 |
|  |Flexible_PPO|Global_model_0   | 3.5978239504620433 | 2.086946780782878  | 5.684770731244921  |
|  |Flexible_DDQN|Global_model_1  | 4.265370772220194  | 1.332557730391955  | 5.597928502612149  |
|    |Rule_PPO|Global_model_3     | 1.2033605398028158 | 4.394441126736983  | 5.597801666539799  |
|  |Flexible_PPO|Global_model_2   | 3.4641555142588913 | 2.0368860439498233 | 5.501041558208715  |
|  |Flexible_DDQN|Local_model_7   | 1.9744028688874096 | 3.3641212448865527 | 5.338524113773962  |
|  |Flexible_DDQN|Local_model_5   | 3.9229778917506337 | 1.2784637410180253 | 5.201441632768659  |
|  |Flexible_PPO|Global_model_1   |  3.18299607175868  | 1.9803166845502764 | 5.163312756308956  |
|   |Flexible_PPO|Local_model_4   | 3.2612195442197844 | 1.858343132070427  | 5.1195626762902116 |
|  |Flexible_DDQN|Local_model_4   | 3.975248549832031  | 1.1186539732830456 | 5.0939025231150765 |
|  |Flexible_DDQN|Global_model_3  | 4.208850666182116  | 0.758189849271791  | 4.967040515453907  |
|  |Flexible_DDQN|Global_model_0  | 2.9011129837017506 | 1.9626200901097548 | 4.863733073811505  |
|   |Flexible_PPO|Local_model_6   | 4.120349831879139  | 0.7323310747242857 | 4.852680906603425  |
|   |Flexible_PPO|Local_model_7   | 1.9054633437772281 | 2.7073739416140397 | 4.612837285391268  |
|  |Flexible_PPO|Global_model_3   | 3.2184931631200016 | 1.3113288896020412 | 4.529822052722043  |
|  |Flexible_DDQN|Global_model_2  | 3.9787952416809276 | 0.5104032499345139 | 4.489198491615442  |
|  |Flexible_DDQN|Local_model_6   | 4.163906194269657  | 0.2699589201221291 | 4.433865114391786  |
+---------------------------------+--------------------+--------------------+--------------------+
