,candidate,run,makespan,tardiness,makespan_reward,tardiness_reward
0,|Local_model_4,_1_35,4394.0693,54853.3671875,0.06369546055793762,0.2818503156699805
1,|Local_model_4,_1_32,4250.81,57396.1875,0.20767159759998322,0.3016358209229542
2,|Local_model_4,_1_92,4335.94,41900.99609375,0.17459075152873993,0.22827697548268394
3,|Local_model_4,_1_66,4574.3467,42131.17578125,0.18921372294425964,0.303600051286807
4,|Local_model_4,_1_59,4915.129,19788.1953125,0.12089291214942932,0.2936833374928259
5,|Local_model_4,_1_61,4011.6318,27172.76953125,0.06447428464889526,0.3008879779168842
6,|Local_model_4,_1_95,4506.292,36664.4921875,0.14031261205673218,0.25352227727453625
7,|Local_model_4,_1_57,4207.449,19530.232421875,0.22613559663295746,0.2969093267831016
8,|Local_model_4,_1_68,4319.706,35177.9921875,0.1607905626296997,0.21864476643195863
9,|Local_model_4,_1_50,4604.8286,44454.984375,0.4273732304573059,0.284890064595172
10,|Local_model_4,_1_33,4938.481,46580.72265625,0.21411848068237305,0.2696864341927499
11,|Local_model_4,_1_34,4812.8125,14236.6953125,0.0555976964533329,0.27634188914396707
12,|Local_model_4,_1_51,4129.6357,43804.1953125,0.23318569362163544,0.3573336733052298
13,|Local_model_4,_1_56,4303.94,25220.107421875,0.16722944378852844,0.267710579279951
14,|Local_model_4,_1_69,4654.886,33699.9296875,0.3131899833679199,0.323619651565517
15,|Local_model_4,_1_94,4638.878,40422.80859375,0.0,0.2143037111981661
16,|Local_model_4,_1_60,5052.5605,22672.38671875,0.18262577056884766,0.2974499009063472
17,|Local_model_4,_1_67,4296.8745,36049.4296875,0.24118930101394653,0.2707164464329698
18,|Local_model_4,_1_93,4425.2627,32235.921875,0.2863306701183319,0.2877464290081953
19,|Local_model_4,_1_58,4415.8896,19392.93359375,0.24896419048309326,0.28326892847554236
20,|Local_model_4,_1_5,4716.391,47051.34375,0.020627444609999657,0.29995936410256036
21,|Local_model_4,_1_2,4351.7656,62838.69921875,0.30715954303741455,0.20002551919736655
22,|Local_model_4,_1_3,4209.568,24710.947265625,0.0476946160197258,0.24751384043249428
23,|Local_model_4,_1_4,5152.709,33165.75,0.23704871535301208,0.2296636070779808
24,|Local_model_4,_1_45,4328.66,27134.095703125,0.016554199159145355,0.22838910888861805
25,|Local_model_4,_1_89,4047.495,31474.52734375,0.21607521176338196,0.4082923493564912
26,|Local_model_4,_1_42,4652.671,38660.16796875,0.26355335116386414,0.2765903210770068
27,|Local_model_4,_1_80,4653.909,29261.099609375,0.09852898120880127,0.2634335618778487
28,|Local_model_4,_1_74,4665.098,33825.45703125,0.23524965345859528,0.3335006752836629
29,|Local_model_4,_1_73,4981.8804,28750.54296875,0.11714744567871094,0.24637401942063916
30,|Local_model_4,_1_87,4232.3364,47150.6484375,0.23032794892787933,0.38006273106340466
31,|Local_model_4,_1_27,4762.7007,27874.263671875,0.009141485206782818,0.283754246063688
32,|Local_model_4,_1_18,4549.982,34003.13671875,0.06390884518623352,0.2546963392658652
33,|Local_model_4,_1_20,4261.5063,20035.53125,0.270495742559433,0.2634214291360648
34,|Local_model_4,_1_16,4509.2427,32206.880859375,0.298461377620697,0.2622105007273992
35,|Local_model_4,_1_29,4231.9385,41163.86328125,0.09259980916976929,0.27789751172721516
36,|Local_model_4,_1_11,4552.2646,24996.232421875,0.25615110993385315,0.26242364693647896
37,|Local_model_4,_1_86,4570.0366,24021.89453125,0.08485694974660873,0.25031360025859944
38,|Local_model_4,_1_72,4689.178,43904.46875,0.19219739735126495,0.31353251342391625
39,|Local_model_4,_1_75,4418.499,26984.755859375,0.16855859756469727,0.2775520066169037
40,|Local_model_4,_1_81,4767.9424,29895.537109375,0.271604984998703,0.2662886389990909
