,candidate,run,makespan,tardiness,makespan_reward,tardiness_reward
0,|Local_model_4,_1_35,4434.1567,67289.4140625,0.1135665625333786,0.04683905427460227
1,|Local_model_4,_1_32,4586.544,60943.875,0.06585939228534698,0.13195041337693342
2,|Local_model_4,_1_92,4389.878,43000.63671875,0.08276767283678055,0.2508506627543507
3,|Local_model_4,_1_66,5130.2085,55544.3046875,0.0,0.0
4,|Local_model_4,_1_59,4934.437,25608.03515625,0.14222405850887299,0.10476929553496973
5,|Local_model_4,_1_61,4094.0913,34161.5234375,0.0,0.047832318504121785
6,|Local_model_4,_1_95,4782.368,41719.1875,0.0,0.055199593457958794
7,|Local_model_4,_1_57,4267.74,25051.173828125,0.1413862258195877,0.022967331546407885
8,|Local_model_4,_1_68,4425.3955,40766.5234375,0.2293063849210739,0.0
9,|Local_model_4,_1_50,4731.8687,54091.203125,0.0,0.04600301592071827
10,|Local_model_4,_1_33,5166.942,52545.87109375,0.0,0.022154603396555807
11,|Local_model_4,_1_34,4814.112,19611.03125,0.13142114877700806,0.028857542742965554
12,|Local_model_4,_1_51,4132.37,51800.7265625,0.26801660656929016,0.2688825285646062
13,|Local_model_4,_1_56,4314.1206,30999.16796875,0.19390635192394257,0.09427337408278916
14,|Local_model_4,_1_69,5144.7583,43542.41015625,0.0,0.0
15,|Local_model_4,_1_94,4618.179,42430.43359375,0.1666666567325592,0.36866199446241715
16,|Local_model_4,_1_60,5061.859,29167.1484375,0.15279319882392883,0.0
17,|Local_model_4,_1_67,4452.633,43351.21875,0.07935108244419098,0.13547808398122077
18,|Local_model_4,_1_93,4421.67,36870.359375,0.2292037010192871,0.1505537697229454
19,|Local_model_4,_1_58,4527.17,24820.568359375,0.1314980387687683,0.0
20,|Local_model_4,_1_5,4713.7227,52237.5546875,0.21659870445728302,0.08101749118006227
21,|Local_model_4,_1_2,5062.9653,63613.21875,0.01901448331773281,0.0
22,|Local_model_4,_1_3,4249.369,27355.20703125,0.03051956743001938,0.13935012934395707
23,|Local_model_4,_1_4,5368.9053,37398.9375,0.0,0.09652988004641785
24,|Local_model_4,_1_45,4400.7153,33381.44140625,0.0,0.020042913933450528
25,|Local_model_4,_1_89,4224.3535,41090.796875,0.10299350321292877,0.044692859454075085
26,|Local_model_4,_1_42,4654.551,42785.51953125,0.18112045526504517,0.3338866155541066
27,|Local_model_4,_1_80,4891.565,33625.6796875,0.10392901301383972,0.2604770168880127
28,|Local_model_4,_1_74,5073.575,41502.12890625,0.1336895078420639,0.13974109006380514
29,|Local_model_4,_1_73,5088.9526,32382.37109375,0.03622303158044815,0.07049007898047713
30,|Local_model_4,_1_87,4415.408,64554.34375,0.0,0.0
31,|Local_model_4,_1_27,4525.1157,32314.689453125,0.20791490375995636,0.0
32,|Local_model_4,_1_18,4606.122,39077.765625,0.27624082565307617,0.22698964201820332
33,|Local_model_4,_1_20,4459.5303,26259.142578125,0.0,0.0
34,|Local_model_4,_1_16,4925.504,36715.00390625,0.0,0.18530542147638523
35,|Local_model_4,_1_29,4446.7397,46124.03125,0.0,0.0
36,|Local_model_4,_1_11,4687.387,29959.845703125,0.006236122455447912,0.10822486406726592
37,|Local_model_4,_1_86,4555.19,27761.087890625,0.1543034315109253,0.0
38,|Local_model_4,_1_72,4765.3613,48759.2109375,0.36413949728012085,0.23124079174464812
39,|Local_model_4,_1_75,4499.8438,26901.220703125,0.10734087973833084,0.34662023049523505
40,|Local_model_4,_1_81,4906.3906,37369.91015625,0.0,0.0
41,|Local_model_4,_1_88,4788.2026,39869.046875,0.0,0.0
42,|Local_model_4,_1_43,4724.2007,48503.9921875,0.0032111546024680138,0.13516262776025637
43,|Local_model_4,_1_44,4508.089,47304.07421875,0.1033068522810936,0.13999696199400732
44,|Local_model_4,_1_10,4282.2207,63333.30859375,0.0,0.1393540797721844
45,|Local_model_4,_1_17,4630.133,48725.8671875,0.2208683043718338,0.1789315491695689
46,|Local_model_4,_1_28,4385.4004,62991.90625,0.08283529430627823,0.04467106241292842
47,|Local_model_4,_1_21,4987.826,32405.0234375,0.0,0.118362553400865
48,|Local_model_4,_1_26,5541.729,43068.5703125,0.0,0.13683664698980863
49,|Local_model_4,_1_19,4461.956,37207.046875,0.1214565858244896,0.0
50,|Local_model_4,_1_62,5283.8096,43224.5390625,0.0,0.0027101935450502893
51,|Local_model_4,_1_96,4824.6494,42021.13671875,0.0,0.18063056797483026
52,|Local_model_4,_1_91,5581.9097,29835.169921875,0.0,0.01955838792719352
53,|Local_model_4,_1_65,4570.9165,30163.908203125,0.0,0.16973929986130132
54,|Local_model_4,_1_53,4761.1826,35294.48828125,0.0,0.0
55,|Local_model_4,_1_98,4846.2305,32505.349609375,0.11547853797674179,0.0021634514368186687
56,|Local_model_4,_1_54,4324.8174,31034.984375,0.028759416192770004,0.0
57,|Local_model_4,_1_38,4712.7686,41478.73046875,0.0,0.01758971128806325
58,|Local_model_4,_1_31,4384.161,35456.28125,0.06631456315517426,0.006415546972147942
59,|Local_model_4,_1_36,4922.752,46250.3515625,0.16730394959449768,0.009841597453623115
60,|Local_model_4,_1_55,5162.8867,24859.9609375,0.0,0.0
61,|Local_model_4,_1_52,4624.372,38447.01953125,0.0,0.014921192106704163
