,candidate,run,makespan,tardiness,makespan_reward,tardiness_reward
0,|DeepMARL_MR Prioritized (S)_model_5,_1_61,3969.33,31391.7890625,0.20022302865982056,0.24312608157185117
1,|DeepMARL_MR Prioritized (S)_model_5,_1_9,4019.8574,45915.3671875,0.13492713868618011,0.2512560803932479
2,|DeepMARL_MR Prioritized (S)_model_5,_1_40,4090.5903,51622.94140625,0.20211414992809296,0.29185934296553845
3,|DeepMARL_MR Prioritized (S)_model_5,_1_77,4136.537,33185.11328125,0.28892773389816284,0.2244490011954406
4,|DeepMARL_MR Prioritized (S)_model_5,_1_54,4138.3525,25642.189453125,0.19522744417190552,0.360533158503726
5,|DeepMARL_MR Prioritized (S)_model_5,_1_89,4152.667,36829.81640625,0.11606442183256149,0.17165507395772345
6,|DeepMARL_MR Prioritized (S)_model_5,_1_10,4160.1133,55671.16015625,0.0,0.32786398298156644
7,|DeepMARL_MR Prioritized (S)_model_5,_1_51,4180.37,44250.6640625,0.18811753392219543,0.5479224200604583
8,|DeepMARL_MR Prioritized (S)_model_5,_1_31,4188.867,31414.1640625,0.15684056282043457,0.3076495136290114
9,|DeepMARL_MR Prioritized (S)_model_5,_1_3,4209.568,24382.564453125,0.0,0.49007959464241957
10,|DeepMARL_MR Prioritized (S)_model_5,_1_87,4213.328,51149.84375,0.33068937063217163,0.27410534605436737
11,|DeepMARL_MR Prioritized (S)_model_5,_1_57,4230.7153,21275.072265625,0.18820853531360626,0.3250329174287428
12,|DeepMARL_MR Prioritized (S)_model_5,_1_12,4242.6294,37186.11328125,0.0,0.22798184858846743
13,|DeepMARL_MR Prioritized (S)_model_5,_1_48,4256.249,50824.73828125,0.0460178479552269,0.2899275890742352
14,|DeepMARL_MR Prioritized (S)_model_5,_1_56,4270.659,26825.9140625,0.22216801345348358,0.19556305065262278
15,|DeepMARL_MR Prioritized (S)_model_5,_1_28,4281.3057,57485.8203125,0.31435155868530273,0.17987098185755937
16,|DeepMARL_MR Prioritized (S)_model_5,_1_68,4287.8877,33011.265625,0.15771697461605072,0.3438055385984802
17,|DeepMARL_MR Prioritized (S)_model_5,_1_29,4289.127,44500.77734375,0.023290473967790604,0.19249553473095374
18,|DeepMARL_MR Prioritized (S)_model_5,_1_14,4306.4336,42862.4921875,0.17951332032680511,0.2424545582945387
19,|DeepMARL_MR Prioritized (S)_model_5,_1_6,4316.489,33564.1328125,0.17204724252223969,0.27099367281274644
20,|DeepMARL_MR Prioritized (S)_model_5,_1_66,4319.916,44651.87890625,0.46761539578437805,0.2110266092811456
21,|DeepMARL_MR Prioritized (S)_model_5,_1_15,4325.121,49797.453125,0.18745343387126923,0.2877668177082596
22,|DeepMARL_MR Prioritized (S)_model_5,_1_19,4328.9883,27049.166015625,0.1786814033985138,0.49729722927114556
23,|DeepMARL_MR Prioritized (S)_model_5,_1_92,4341.4795,39883.40625,0.1647464483976364,0.22530693337676141
24,|DeepMARL_MR Prioritized (S)_model_5,_1_20,4356.294,21272.23046875,0.15372240543365479,0.33963090898145437
25,|DeepMARL_MR Prioritized (S)_model_5,_1_96,4371.3433,38606.109375,0.1928403228521347,0.22347250682151268
26,|DeepMARL_MR Prioritized (S)_model_5,_1_44,4377.199,37495.9609375,0.16106808185577393,0.30710610650508496
27,|DeepMARL_MR Prioritized (S)_model_5,_1_35,4401.0693,57061.6171875,0.0,0.2809939526567752
28,|DeepMARL_MR Prioritized (S)_model_5,_1_18,4403.419,31443.482421875,0.20310498774051666,0.32556936339587245
29,|DeepMARL_MR Prioritized (S)_model_5,_1_43,4409.6963,38775.0078125,0.15231652557849884,0.3528381899074111
30,|DeepMARL_MR Prioritized (S)_model_5,_1_8,4412.3975,40065.5,0.24021579325199127,0.12765340428186528
31,|DeepMARL_MR Prioritized (S)_model_5,_1_23,4428.259,23645.6875,0.22470593452453613,0.2467044548864291
32,|DeepMARL_MR Prioritized (S)_model_5,_1_93,4428.3643,33423.8515625,0.21656706929206848,0.350085781658797
33,|DeepMARL_MR Prioritized (S)_model_5,_1_46,4432.961,22089.12109375,0.09985748678445816,0.28643683975548356
34,|DeepMARL_MR Prioritized (S)_model_5,_1_100,4441.6914,18801.013671875,0.0,0.3572591661998381
35,|DeepMARL_MR Prioritized (S)_model_5,_1_25,4456.661,19996.2578125,0.0,0.28553889448131875
36,|DeepMARL_MR Prioritized (S)_model_5,_1_78,4456.7285,41527.07421875,0.10840178281068802,0.38897161974691496
37,|DeepMARL_MR Prioritized (S)_model_5,_1_65,4457.1167,27890.25,0.07565488666296005,0.16018280374868724
38,|DeepMARL_MR Prioritized (S)_model_5,_1_7,4470.842,24298.05078125,0.6648958325386047,0.25111652181773947
39,|DeepMARL_MR Prioritized (S)_model_5,_1_75,4472.7373,24094.818359375,0.0,0.3187113588017963
40,|DeepMARL_MR Prioritized (S)_model_5,_1_45,4482.9043,28623.978515625,0.0,0.2699886260707754
41,|DeepMARL_MR Prioritized (S)_model_5,_1_67,4483.3604,41457.7890625,0.0,0.17618914751450182
42,|DeepMARL_MR Prioritized (S)_model_5,_1_97,4490.001,24777.8046875,0.0,0.25416468731841535
43,|DeepMARL_MR Prioritized (S)_model_5,_1_1,4490.1533,26275.716796875,0.22451172769069672,0.21577392320476896
44,|DeepMARL_MR Prioritized (S)_model_5,_1_58,4492.3926,22199.81640625,0.0,0.1295448127210949
45,|DeepMARL_MR Prioritized (S)_model_5,_1_84,4495.7017,42650.4921875,0.1653260737657547,0.22791789958073855
