,candidate,run,makespan,tardiness,makespan_reward,tardiness_reward
0,|Deep MARL-MR Beefy (S)_model_3,_1_9,3798.5415,56607.046875,0.39315763115882874,0.0
1,|Deep MARL-MR Beefy (S)_model_3,_1_35,3936.7744,86775.203125,0.45054304599761963,0.0
2,|Deep MARL-MR Beefy (S)_model_3,_1_10,3969.6006,76746.109375,0.8417203426361084,0.0
3,|Deep MARL-MR Beefy (S)_model_3,_1_61,3997.61,55831.09375,0.13756664097309113,0.0
4,|Deep MARL-MR Beefy (S)_model_3,_1_6,4007.5046,46629.40234375,0.5990606546401978,0.0
5,|Deep MARL-MR Beefy (S)_model_3,_1_77,4055.1694,44654.5390625,0.4421381652355194,0.0
6,|Deep MARL-MR Beefy (S)_model_3,_1_89,4061.286,44291.3984375,0.28606101870536804,0.0
7,|Deep MARL-MR Beefy (S)_model_3,_1_54,4069.3467,41851.953125,0.4308382272720337,0.0
8,|Deep MARL-MR Beefy (S)_model_3,_1_3,4074.8413,35959.83984375,0.24947838485240936,0.0
9,|Deep MARL-MR Beefy (S)_model_3,_1_29,4096.07,58387.38671875,0.4585917890071869,0.0
10,|Deep MARL-MR Beefy (S)_model_3,_1_43,4100.994,56473.2578125,0.31125155091285706,0.0
11,|Deep MARL-MR Beefy (S)_model_3,_1_40,4116.5903,69748.65625,0.0,0.0
12,|Deep MARL-MR Beefy (S)_model_3,_1_19,4135.006,41390.28125,0.8649592399597168,0.0
13,|Deep MARL-MR Beefy (S)_model_3,_1_51,4139.1055,63174.6015625,0.4493468403816223,0.0
14,|Deep MARL-MR Beefy (S)_model_3,_1_12,4161.7544,51831.1328125,0.0,0.0
15,|Deep MARL-MR Beefy (S)_model_3,_1_87,4198.328,70096.375,0.41471749544143677,0.0
16,|Deep MARL-MR Beefy (S)_model_3,_1_31,4204.42,44713.5625,0.0,0.0
17,|Deep MARL-MR Beefy (S)_model_3,_1_66,4214.283,61082.2890625,0.3776537775993347,0.0
18,|Deep MARL-MR Beefy (S)_model_3,_1_32,4234.3247,69243.96875,0.5397737622261047,0.0
19,|Deep MARL-MR Beefy (S)_model_3,_1_57,4235.848,33795.90234375,0.1613529771566391,0.0
20,|Deep MARL-MR Beefy (S)_model_3,_1_92,4241.973,53958.51171875,0.3214733600616455,0.0
21,|Deep MARL-MR Beefy (S)_model_3,_1_68,4248.3955,47772.56640625,0.6294211745262146,0.0
22,|Deep MARL-MR Beefy (S)_model_3,_1_28,4252.6294,68668.484375,0.09154912829399109,0.0
23,|Deep MARL-MR Beefy (S)_model_3,_1_52,4257.076,47607.7734375,0.41047248244285583,0.0
24,|Deep MARL-MR Beefy (S)_model_3,_1_48,4261.921,71055.4375,0.0,0.0
25,|Deep MARL-MR Beefy (S)_model_3,_1_44,4266.1934,61722.00390625,0.5251284837722778,0.0
26,|Deep MARL-MR Beefy (S)_model_3,_1_45,4274.4556,41698.87890625,0.2409057319164276,0.0
27,|Deep MARL-MR Beefy (S)_model_3,_1_1,4286.0303,42270.640625,0.7208781242370605,0.0
28,|Deep MARL-MR Beefy (S)_model_3,_1_67,4296.109,54273.6328125,0.24075232446193695,0.0
29,|Deep MARL-MR Beefy (S)_model_3,_1_100,4300.164,32998.9765625,0.4518739581108093,0.0
30,|Deep MARL-MR Beefy (S)_model_3,_1_20,4302.1567,31873.435546875,0.24525532126426697,0.0
31,|Deep MARL-MR Beefy (S)_model_3,_1_96,4305.3433,52717.5703125,0.3901687264442444,0.0
32,|Deep MARL-MR Beefy (S)_model_3,_1_14,4306.1504,59780.0625,0.13077892363071442,0.0
33,|Deep MARL-MR Beefy (S)_model_3,_1_78,4309.7285,64139.609375,0.40647637844085693,0.0
34,|Deep MARL-MR Beefy (S)_model_3,_1_56,4312.0,38706.96484375,0.0,0.0
35,|Deep MARL-MR Beefy (S)_model_3,_1_46,4344.961,30252.08203125,0.3773731589317322,0.0
36,|Deep MARL-MR Beefy (S)_model_3,_1_25,4347.6025,32516.875,0.0,0.0
37,|Deep MARL-MR Beefy (S)_model_3,_1_65,4379.4624,35236.75,0.3243582844734192,0.0
38,|Deep MARL-MR Beefy (S)_model_3,_1_90,4380.2314,45324.30078125,0.43753620982170105,0.0
39,|Deep MARL-MR Beefy (S)_model_3,_1_15,4380.3066,76123.7578125,0.0,0.0
40,|Deep MARL-MR Beefy (S)_model_3,_1_2,4393.809,87854.59375,0.3439805507659912,0.0
41,|Deep MARL-MR Beefy (S)_model_3,_1_58,4399.2324,27401.65625,0.0,0.0
42,|Deep MARL-MR Beefy (S)_model_3,_1_18,4404.7324,48422.76953125,0.2287750542163849,0.0
43,|Deep MARL-MR Beefy (S)_model_3,_1_75,4434.6797,40657.5546875,0.0,0.0
44,|Deep MARL-MR Beefy (S)_model_3,_1_23,4440.6733,35010.0234375,0.34014564752578735,0.0
45,|Deep MARL-MR Beefy (S)_model_3,_1_93,4444.67,47856.453125,0.0,0.0
46,|Deep MARL-MR Beefy (S)_model_3,_1_8,4448.3975,51844.1015625,0.2325381487607956,0.0
