,candidate,run,makespan,tardiness,makespan_reward,tardiness_reward
0,|Local_model_4,_1_9,3786.4285,45166.27734375,0.2444223016500473,0.2321380059673907
1,|Local_model_4,_1_10,3928.571,63059.6328125,0.5892046689987183,0.10483855857345002
2,|Local_model_4,_1_61,3978.33,31449.501953125,0.13226760923862457,0.2890379131260934
3,|Local_model_4,_1_89,3999.7993,37973.83984375,0.24541550874710083,0.1630806396382985
4,|Local_model_4,_1_54,4003.0725,26403.599609375,0.31259506940841675,0.23934856020995973
5,|Local_model_4,_1_43,4003.9944,45677.7109375,0.27680763602256775,0.1617089667758004
6,|Local_model_4,_1_6,4017.5046,33528.5625,0.2559267282485962,0.21411263091157032
7,|Local_model_4,_1_29,4069.1267,46358.1484375,0.2538095712661743,0.005345347311432869
8,|Local_model_4,_1_48,4070.584,57124.609375,0.3404271900653839,0.10566442457948733
9,|Local_model_4,_1_12,4072.533,35349.15625,0.255381315946579,0.20377378995462603
10,|Local_model_4,_1_40,4096.1104,57583.58203125,0.07877758890390396,0.08679506663778497
11,|Local_model_4,_1_68,4103.7305,34042.578125,0.41885605454444885,0.19018039864332728
12,|Local_model_4,_1_31,4109.584,30499.4296875,0.2392290085554123,0.19273027284094316
13,|Local_model_4,_1_51,4156.5464,49329.4453125,0.2146594375371933,0.17681221108829756
14,|Local_model_4,_1_3,4157.568,29151.64453125,0.13260197639465332,0.06562512794719919
15,|Local_model_4,_1_77,4163.537,43073.50390625,0.17968140542507172,0.0
16,|Local_model_4,_1_95,4164.9297,36669.3828125,0.2575930655002594,0.2218313644979354
17,|Local_model_4,_1_45,4185.3135,28597.58203125,0.34647777676582336,0.1877937856362576
18,|Local_model_4,_1_19,4191.956,28682.994140625,0.23268477618694305,0.19576441888867918
19,|Local_model_4,_1_92,4194.8516,39190.13671875,0.25554072856903076,0.21189394390675328
20,|Local_model_4,_1_57,4206.4507,20586.728515625,0.1773303598165512,0.23780389171634556
21,|Local_model_4,_1_66,4211.6323,43702.87109375,0.34594884514808655,0.20968768226566914
22,|Local_model_4,_1_87,4212.328,56145.3125,0.21801181137561798,0.02794085095325628
23,|Local_model_4,_1_15,4213.198,52030.4375,0.30805152654647827,0.2063146275567773
24,|Local_model_4,_1_84,4221.837,44650.89453125,0.35286250710487366,0.17250209288494203
25,|Local_model_4,_1_35,4225.425,65309.42578125,0.14058734476566315,0.1001564060245113
26,|Local_model_4,_1_52,4241.0444,34565.40234375,0.21127671003341675,0.13495975579978337
